learning_rate,regularization,hidden_dims,mean_accuracy,mean_f1
0.001,0.0,[2],0.5400915750915751,0.17541240216736909
0.001,0.0,"[2, 2]",0.5267582417582417,0.12450331125827815
0.001,0.0,"[2, 2, 2]",0.5075274725274725,0.2490066225165563
0.001,0.0,[10],0.6108974358974358,0.27751927273885546
0.001,0.0,"[10, 10]",0.545989010989011,0.0
0.001,0.0,[20],0.5822527472527472,0.1424417314095449
0.001,0.0,[40],0.5594139194139194,0.05446153846153845
0.001,0.0,"[20, 10]",0.5479120879120879,0.12923076923076923
0.001,0.0,"[30, 15]",0.545989010989011,0.0
0.001,0.0,"[40, 20, 10]",0.545989010989011,0.0
0.001,0.001,[2],0.545989010989011,0.0
0.001,0.001,"[2, 2]",0.47115384615384615,0.49900012985326586
0.001,0.001,"[2, 2, 2]",0.545989010989011,0.0
0.001,0.001,[10],0.5555677655677655,0.040999999999999995
0.001,0.001,"[10, 10]",0.545989010989011,0.0
0.001,0.001,[20],0.5363736263736263,0.0
0.001,0.001,[40],0.5536080586080586,0.05102040816326531
0.001,0.001,"[20, 10]",0.545989010989011,0.0
0.001,0.001,"[30, 15]",0.545989010989011,0.0
0.001,0.001,"[40, 20, 10]",0.545989010989011,0.0
0.001,0.01,[2],0.5173076923076924,0.2877293563933133
0.001,0.01,"[2, 2]",0.545989010989011,0.01568627450980392
0.001,0.01,"[2, 2, 2]",0.5267582417582417,0.12450331125827815
0.001,0.01,[10],0.545970695970696,0.00816326530612245
0.001,0.01,"[10, 10]",0.545989010989011,0.0
0.001,0.01,[20],0.5536080586080587,0.03076923076923077
0.001,0.01,[40],0.5613186813186812,0.06514965986394558
0.001,0.01,"[20, 10]",0.545989010989011,0.0
0.001,0.01,"[30, 15]",0.545989010989011,0.0
0.001,0.01,"[40, 20, 10]",0.528846153846154,0.12549019607843137
0.001,0.1,[2],0.5825274725274725,0.13488372093023254
0.001,0.1,"[2, 2]",0.5058058608058609,0.33371443756926766
0.001,0.1,"[2, 2, 2]",0.5096153846153846,0.24999350733670953
0.001,0.1,[10],0.5764835164835166,0.1677723880597015
0.001,0.1,"[10, 10]",0.545989010989011,0.0
0.001,0.1,[20],0.5536813186813186,0.03137254901960784
0.001,0.1,[40],0.5631318681318682,0.06315789473684211
0.001,0.1,"[20, 10]",0.545989010989011,0.0
0.001,0.1,"[30, 15]",0.545989010989011,0.0
0.001,0.1,"[40, 20, 10]",0.5267582417582417,0.12450331125827815
0.01,0.0,[2],0.7718315018315018,0.6351513102628721
0.01,0.0,"[2, 2]",0.545989010989011,0.0
0.01,0.0,"[2, 2, 2]",0.545989010989011,0.0
0.01,0.0,[10],0.8428754578754578,0.8172309368841851
0.01,0.0,"[10, 10]",0.545989010989011,0.0
0.01,0.0,[20],0.8237728937728939,0.7991477336650181
0.01,0.0,[40],0.8276190476190477,0.8012959381044487
0.01,0.0,"[20, 10]",0.545989010989011,0.0
0.01,0.0,"[30, 15]",0.545989010989011,0.0
0.01,0.0,"[40, 20, 10]",0.545989010989011,0.0
0.01,0.001,[2],0.7627289377289377,0.6176098378840381
0.01,0.001,"[2, 2]",0.545989010989011,0.0
0.01,0.001,"[2, 2, 2]",0.545989010989011,0.0
0.01,0.001,[10],0.841098901098901,0.8183871146288814
0.01,0.001,"[10, 10]",0.545989010989011,0.0
0.01,0.001,[20],0.8544505494505495,0.8362562925375538
0.01,0.001,[40],0.841062271062271,0.8185248969433934
0.01,0.001,"[20, 10]",0.545989010989011,0.0
0.01,0.001,"[30, 15]",0.545989010989011,0.0
0.01,0.001,"[40, 20, 10]",0.545989010989011,0.0
0.01,0.01,[2],0.7171428571428571,0.4775047737073053
0.01,0.01,"[2, 2]",0.545989010989011,0.0
0.01,0.01,"[2, 2, 2]",0.545989010989011,0.0
0.01,0.01,[10],0.8467582417582419,0.8161890321744665
0.01,0.01,"[10, 10]",0.545989010989011,0.0
0.01,0.01,[20],0.8294871794871795,0.7988999735962846
0.01,0.01,[40],0.8372161172161172,0.8111759034752426
0.01,0.01,"[20, 10]",0.545989010989011,0.0
0.01,0.01,"[30, 15]",0.545989010989011,0.0
0.01,0.01,"[40, 20, 10]",0.545989010989011,0.0
