learning_rate,regularization,hidden_dims,mean_accuracy,mean_f1
0.001,0.0,[2],0.7564516129032258,0.8612602212602212
0.001,0.0,"[2, 2]",0.7564516129032258,0.8612602212602212
0.001,0.0,"[2, 2, 2]",0.7564516129032258,0.8612602212602212
0.001,0.0,[10],0.7564516129032258,0.8612602212602212
0.001,0.0,"[10, 10]",0.7564516129032258,0.8612602212602212
0.001,0.0,[20],0.7564516129032258,0.8612602212602212
0.001,0.0,[40],0.7564516129032258,0.8612602212602212
0.001,0.0,"[20, 10]",0.7564516129032258,0.8612602212602212
0.001,0.0,"[30, 15]",0.7564516129032258,0.8612602212602212
0.001,0.0,"[40, 20, 10]",0.7564516129032258,0.8612602212602212
0.001,0.001,[2],0.7564516129032258,0.8612602212602212
0.001,0.001,"[2, 2]",0.7564516129032258,0.8612602212602212
0.001,0.001,"[2, 2, 2]",0.7564516129032258,0.8612602212602212
0.001,0.001,[10],0.7564516129032258,0.8612602212602212
0.001,0.001,"[10, 10]",0.7564516129032258,0.8612602212602212
0.001,0.001,[20],0.7564516129032258,0.8612602212602212
0.001,0.001,[40],0.7564516129032258,0.8612602212602212
0.001,0.001,"[20, 10]",0.7564516129032258,0.8612602212602212
0.001,0.001,"[30, 15]",0.7564516129032258,0.8612602212602212
0.001,0.001,"[40, 20, 10]",0.7564516129032258,0.8612602212602212
0.001,0.01,[2],0.7564516129032258,0.8612602212602212
0.001,0.01,"[2, 2]",0.7564516129032258,0.8612602212602212
0.001,0.01,"[2, 2, 2]",0.7564516129032258,0.8612602212602212
0.001,0.01,[10],0.7564516129032258,0.8612602212602212
0.001,0.01,"[10, 10]",0.7564516129032258,0.8612602212602212
0.001,0.01,[20],0.7564516129032258,0.8612602212602212
0.001,0.01,[40],0.7564516129032258,0.8612602212602212
0.001,0.01,"[20, 10]",0.7564516129032258,0.8612602212602212
0.001,0.01,"[30, 15]",0.7564516129032258,0.8612602212602212
0.001,0.01,"[40, 20, 10]",0.7564516129032258,0.8612602212602212
